Country,State,City,Tier,City Population
India,Andaman and Nicobar Islands,,,
India,Chandigarh,Chandigarh,Tier-II,"9,60,787"
India,Dadra and Nagar Haveli,,,
India,Daman and Diu,,,
India,Delhi,Delhi,Tier-I,"1,09,27,986"
India,Lakshadweep,,,
India,Puducherry,,,
India,Andhra Pradesh,Hyderabad,Tier-I,"35,97,816"
India,Andhra Pradesh,Vijayawada,Tier-II,"8,74,587"
India,Andhra Pradesh,Visakhapatnam,Tier-II,"10,63,178"
India,Andhra Pradesh,Guntur,Tier-II,"5,30,577"
India,Arunachal Pradesh,,,
India,Assam,Guwahati,Tier-II,"8,99,094"
India,Bihar,Patna,Tier-II,"15,99,920"
India,Chhattisgarh,Bhilai,Tier-II,"6,25,138"
India,Chhattisgarh,Raipur,Tier-II,"6,79,995"
India,Goa,,,
India,Gujarat,Ahmedabad,Tier-II,"37,19,710"
India,Gujarat,Rajkot,Tier-II,"11,77,362"
India,Gujarat,Jamnagar,Tier-II,"4,92,056"
India,Gujarat,Vadodara,Tier-II,"14,09,476"
India,Gujarat,Surat,Tier-II,"28,94,504"
India,Haryana,Faridabad,Tier-II,"12,20,229"
India,Himachal Pradesh,,,
India,Jammu and Kashmir,Srinagar,Tier-II,"9,75,857"
India,Jammu and Kashmir,Jammu,Tier-II,"4,65,567"
India,Jharkhand,Jamshedpur,Tier-II,"6,16,338"
India,Jharkhand,Dhanbad,Tier-II,"2,19,636"
India,Jharkhand,Ranchi,Tier-II,"8,46,454"
India,Karnataka,Bangalore,Tier-I,"51,04,047"
India,Karnataka,Belgaum,Tier-II,"4,28,720"
India,Karnataka,Hubli,Tier-II,"8,40,214"
India,Karnataka,Mangalore,Tier-II,"4,17,387"
India,Karnataka,Mysore,Tier-II,"8,68,313"
India,Kerala,Kozhikode,Tier-II,"4,39,922"
India,Kerala,Kochi,Tier-II,"6,04,696"
India,Kerala,Thiruvananthapuram,Tier-II,"7,84,153"
India,Madhya Pradesh,Gwalior,Tier-II,"8,82,458"
India,Madhya Pradesh,Indore,Tier-II,"18,37,041"
India,Madhya Pradesh,Bhopal,Tier-II,"15,99,914"
India,Madhya Pradesh,Jabalpur,Tier-II,"10,30,168"
India,Maharashtra,Mumbai,Tier-I,"1,26,91,836"
India,Maharashtra,Amravati,Tier-II,"6,03,837"
India,Maharashtra,Nagpur,Tier-II,"22,28,018"
India,Maharashtra,Aurangabad,Tier-II,"10,16,441"
India,Maharashtra,Nashik,Tier-II,"12,89,497"
India,Maharashtra,Bhiwandi,Tier-II,"7,07,035"
India,Maharashtra,Pune,Tier-II,"29,35,744"
India,Maharashtra,Solapur,Tier-II,"9,97,281"
India,Maharashtra,Kolhapur,Tier-II,"5,16,142"
India,Manipur ,,,
India,Meghalaya,,,
India,Mizoram,,,
India,Nagaland,,,
India,Odisha,Cuttack,Tier-II,"5,80,000"
India,Odisha,Bhubaneshwar,Tier-II,"7,62,243"
India,Punjab,Amritsar,Tier-II,"10,92,450"
India,Punjab,Jalandhar,Tier-II,"7,85,178"
India,Punjab,Ludhiana,Tier-II,"15,45,368"
India,Rajasthan,Bikaner,Tier-II,"5,76,015"
India,Rajasthan,Jaipur,Tier-II,"27,11,758"
India,Rajasthan,Jodhpur,Tier-II,"9,21,476"
India,Rajasthan,Kota,Tier-II,"7,63,088"
India,Sikkim,,,
India,Tamil Nadu,Chennai,Tier-I,"43,28,063"
India,Tamil Nadu,Salem,Tier-II,"7,78,396"
India,Tamil Nadu,Tiruppur,Tier-II,"3,97,521"
India,Tamil Nadu,Coimbatore,Tier-II,"9,59,823"
India,Tamil Nadu,Tiruchirappalli,Tier-II,"7,75,484"
India,Tamil Nadu,Madurai,Tier-II,"9,09,908"
India,Telangana,Warangal,Tier-II,"5,57,802"
India,Tripura,,,
India,Uttar Pradesh,Moradabad,Tier-II,"7,21,139"
India,Uttar Pradesh,Meerut,Tier-II,"12,23,184"
India,Uttar Pradesh,Ghaziabad,Tier-II,"11,99,191"
India,Uttar Pradesh,Aligarh,Tier-II,"7,53,207"
India,Uttar Pradesh,Agra,Tier-II,"14,30,055"
India,Uttar Pradesh,Bareilly,Tier-II,"7,45,435"
India,Uttar Pradesh,Lucknow,Tier-II,"24,72,011"
India,Uttar Pradesh,Kanpur,Tier-II,"28,23,249"
India,Uttar Pradesh,Allahabad,Tier-II,"10,73,438"
India,Uttar Pradesh,Gorakhpur,Tier-II,"13,24,570"
India,Uttar Pradesh,Varanasi,Tier-II,"11,64,404"
India,Uttarakhand,Dehra Dun,Tier-II,"5,22,081"
India,West Bengal,Kolkata,Tier-I,"46,31,392"
India,West Bengal,Asansol,Tier-II,"5,04,271"
